"Issue Type","Summary","Description","Epic Name","Epic Link","Story Points","Status","Priority","Labels","Acceptance Criteria"
"Epic","Inbox · Timesheets","Single largest agent-manager workqueue. JARVIS-validated timesheets with reasoning trail; bulk approval; flag/reject/notify-team flows.","Inbox · Timesheets","",,"In Progress","High","inbox-timesheets jarvis",""
"Story","Render gmail-style flat list of timesheets in inbox","As an Agent Manager I want to see all incoming timesheets in a single scannable list so I can triage in one pass.","","Inbox · Timesheets","5","Done","High","inbox-timesheets","- Default load shows only actionable items (pending/reviewing/flagged)
- 50 rows per page
- Sorted by date desc by default
- Each row shows status icon, client chip, employee, period, hours, source icon, score"
"Story","Multi-select status filter on timesheet inbox","As an Agent Manager I want to filter by one or more statuses so I can focus on a specific workflow stage (e.g. only flagged).","","Inbox · Timesheets","2","Done","Medium","inbox-timesheets filters","- Multi-select dropdown with 6 status options
- Selecting toggles inclusion
- Active count shown as badge
- Clear-all link inside dropdown when ≥1 selected"
"Story","Multi-select client + source + score filters","As an Agent Manager I want to slice timesheets by client / source / score band so I can prioritise.","","Inbox · Timesheets","3","Done","Medium","inbox-timesheets filters","- 3 multi-select dropdowns
- Score band: high (≥85) / medium (60-84) / low (<60)
- Combine with AND across filters
- Active count badges visible"
"Story","Has-overtime quick toggle","As an Agent Manager I want a one-click toggle to see only OT submissions so I can verify pre-approvals.","","Inbox · Timesheets","1","Done","Medium","inbox-timesheets filters","- Toggle in filter bar
- When on: only ts with overtimeHours > 0 in actionable statuses
- Visual: warn-tinted background when on
- Count of OT items shown in label"
"Story","Stats strip with live filtered counts","As an Agent Manager I want quick numeric overview of my filtered queue so I know depth at a glance.","","Inbox · Timesheets","2","Done","Medium","inbox-timesheets","- Strip shows: total items / flagged count / OT count / page indicator
- Numbers respect current filters
- Sits between filter bar and list"
"Story","Bulk select with sticky select-all header","As an Agent Manager I want to select multiple actionable timesheets so I can approve in batch.","","Inbox · Timesheets","3","Done","Medium","inbox-timesheets bulk","- Per-row checkbox visible only on actionable statuses
- Sticky select-all row when ≥1 actionable in filter
- selectedIds: Set<string> in component state
- Bulk action bar appears when selectedCount > 0"
"Story","Bulk approve with skip-flagged guardrail","As an Agent Manager I want to approve all selected so I can clear bulk consensus quickly without accidentally approving flagged items.","","Inbox · Timesheets","2","Done","High","inbox-timesheets bulk","- Bulk approve sets pending/reviewing → approved
- Flagged items remain untouched (silent skip)
- Attribution: 'Siddharth Kirtikar (Bulk)' + timestamp
- Selection cleared after"
"Story","Quick rules bar for one-click bulk approval","As an Agent Manager I want pre-defined rules to auto-approve clean batches so I don't have to multi-select manually.","","Inbox · Timesheets","3","Done","High","inbox-timesheets bulk rules","- 3 rules: 'Score ≥95 all checks pass' / 'Portal source no flags' / 'Under 40h single client'
- Bar only shows when actionableOnly AND any rule has count > 0
- Each rule shows live count
- Click rule → approve all matching"
"Story","Inline expand to detail drawer","As an Agent Manager I want detailed reasoning trail on a single timesheet so I can decide with full context.","","Inbox · Timesheets","5","Done","High","inbox-timesheets drawer","- Row click opens 420px right-side drawer
- Drawer shows: employee meta, hours grid, JARVIS validation, 7 checks list, leave balance, action group
- Score color: ≥85 green, 60-84 amber, <60 red
- AI confidence pill in JARVIS section"
"Story","Three-button action row in drawer (Flag/Reject/Notify-team)","As an Agent Manager I want one-click escalation paths from the drawer so I can act in 1-2 clicks.","","Inbox · Timesheets","5","Done","High","inbox-timesheets drawer notify","- Approve button (full-width, primary)
- Notify team button (full-width, pink-50 bg)
- 2-col grid: Flag (warn) / Reject (danger)
- Each opens NotifyPanel with respective builder"
"Story","Notify-team subject grammar with code + main issue + count","As an Agent Manager I want subjects that show employee code, main issue, and total count so my inbox is scannable.","","Inbox · Timesheets","3","Done","High","inbox-timesheets notify","- Format: '<prefix> — <code>: <main issue>[ (N issues)] · <period>'
- Main issue = first failed validation check or flag reason
- Count appended only when issues > 1
- Period appended only when provided"
"Story","Notify-team body excludes AI mentions","As an Agent Manager I want emails to feel ops-written so employees / HR don't feel they're talking to a bot.","","Inbox · Timesheets","2","Done","High","inbox-timesheets notify ripley","- No 'JARVIS confidence' line in body
- No 'Drafted by RIPLEY' inline
- Bulleted issue list
- Footnote only: '— This message was written using RIPLEY.'"
"Story","Sort selector with 5 modes","As an Agent Manager I want to sort by date / score / hours / client so I can attack the right item first.","","Inbox · Timesheets","2","Done","Medium","inbox-timesheets","- Sort modes: date / score-asc / score-desc / hours / client
- Default: date desc
- Selector right-aligned next to search
- Sort change resets pagination to 1"
"Story","Clear-all chip resets filters + search + page","As an Agent Manager I want to wipe state when I'm done with a slice so I'm back to default queue.","","Inbox · Timesheets","1","Done","Low","inbox-timesheets filters","- Chip visible only when ≥1 filter or search active
- Click resets all filter dropdowns, OT toggle, search, page=1
- Danger-coloured (intentional warning)"
"Story","Real-time inbox via SSE/websocket","As an Agent Manager I want new timesheets to stream in so I don't need to refresh.","","Inbox · Timesheets","8","To Do","Medium","inbox-timesheets backend v3","- SSE endpoint streams new timesheets
- New rows appear at top with subtle highlight
- Counts in stats strip update without page reload
- Connection auto-reconnects on drop"
"Story","Per-row undo for accidental approvals","As an Agent Manager I want a 5-second undo after bulk approve so I can recover from misclicks.","","Inbox · Timesheets","5","To Do","Medium","inbox-timesheets bulk v3","- Toast appears after bulk approve with 'Undo' link
- Click undo within 5s reverts state
- After 5s, mutation is final"
"Epic","Inbox · Onboarding","260 onboarding cases with 12 issue types across 5 stages. CASE-validated; doc-collection through compliance.","Inbox · Onboarding","",,"In Progress","High","inbox-onboarding case",""
"Story","12 onboarding issue types with stage / severity classification","As an Agent Manager I want to see what's blocking each candidate so I know what to chase.","","Inbox · Onboarding","5","Done","High","inbox-onboarding","- 12 types: Aadhaar mismatch / PAN failure / DOB mismatch / Address conflict / Bank missing / Education / Relieving letter / BGV / Medical / ESIC / EPF UAN / Policy ack
- Each pinned to one of 5 stages
- Each pinned to one of 3 severities (high/medium/low)
- Deterministic generation via mulberry32 seeded with 20260424"
"Story","Stage filter (5 stages)","As an Agent Manager I want to filter by lifecycle stage so I can focus on doc collection vs reconciliation work.","","Inbox · Onboarding","2","Done","Medium","inbox-onboarding filters","- Multi-select with stages: doc-collection / verification / validation / reconciliation / compliance
- Active count badge
- Combine with AND with other filters"
"Story","Issue type + severity + client filters","As an Agent Manager I want to narrow to specific issue type or severity so I can batch-resolve similar cases.","","Inbox · Onboarding","3","Done","Medium","inbox-onboarding filters","- 3 multi-selects: issue type (12), severity (3), client (only when not client-scoped)
- Standard FilterDropdown component
- Combine with AND"
"Story","Aging color thresholds for stale issues","As an Agent Manager I want stale items visually emphasised so SLA breach is obvious.","","Inbox · Onboarding","1","Done","Medium","inbox-onboarding","- < 3 days: neutral text-3 color
- 3 to <7 days: warn amber
- ≥ 7 days: danger red
- Applied to age label on each row"
"Story","Inline expand with 3-col grid (issue / docs / AI suggests)","As an Agent Manager I want full context on one row without navigating away so I can act fast.","","Inbox · Onboarding","5","Done","High","inbox-onboarding","- Row click expands inline (no drawer)
- Layout: 2/3 issue card + 1/3 recommended action + AI suggests cards
- Doc chips render when documents array non-empty
- Inconsistencies bulleted with warn icons"
